Party Name,Allocation Amount (KES),Date of Notice,Source Reference
Liquidator (Extension Order}   —,4310.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
The Insolvency Act—Pestion for Liquidation ete,4310.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Local Physical and Land Use Development Plan ete  -,4312.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Destruction of Court Records «sere sreccesssstsnnunersneestdassenneess -,4314.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
National Assembly Bills,2023.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
The Public Participation Bill  ----:scssorressssesssenereesnnescents,1563.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
The Prisons (Amendment) Bill  ----sscsreyesnseesessemnnenecensens,1575.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
The Penal Code (Amendment) Bill  -+---sesssnmerssnsssstrnnreseens,1583.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
The Whistleblower Protection Bill c+-----essorssreceteennees,1587.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
THE TRANSITION TO DEVOLVED GOVERNMENT ACT,2012.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Kenya Social Congress  KSC,216514.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Orange Democratic Movemeat ODM ___,308150345.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
NARC  __,5150.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
KADU-ASILI,479628.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
United Democratic Movement,371436.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Ubuntu People's Forum,1998286.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Movement for Democracy and MDG,9798327.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
United Progressive Alliance,8672088.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Chama Cha Kazi KAZI,6530254.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Tujibebe Wakenya P: JIBEBE,7578118.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
_ Green Thinking Action Part $,82326.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
Rock Plant The co-ordinates between -,834025.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
IN THE MATTER OF PRESERVATION OF KSH,988518.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
AT DUBAI INTERNATIONAL BANK A/C NO,100736501.0,"29 September, 2023",https://orpp.or.ke/document/allocation-of-the-political-parties-fund-gazette-notice-no-13302-29-september-2023/
